Region,Municipality,Year,Total
17047,View Royal,2022," 12,593"
17049,Highlands,2005,"  1,916"
17049,Highlands,2006,"  1,956"
17049,Highlands,2007,"  1,971"
17049,Highlands,2008,"  1,966"
17049,Highlands,2009,"  2,043"
17049,Highlands,2010,"  2,090"
17049,Highlands,2011,"  2,177"
17049,Highlands,2012,"  2,223"
17049,Highlands,2013,"  2,240"
17049,Highlands,2014,"  2,294"
17049,Highlands,2015,"  2,318"
17049,Highlands,2016,"  2,325"
17049,Highlands,2017,"  2,396"
17049,Highlands,2018,"  2,439"
17049,Highlands,2019,"  2,471"
17049,Highlands,2020,"  2,469"
17049,Highlands,2021,"  2,511"
17049,Highlands,2022,"  2,588"
17052,Sooke,2005,"  9,720"
17052,Sooke,2006,"  9,981"
17052,Sooke,2007," 10,272"
17052,Sooke,2008," 10,603"
17052,Sooke,2009," 10,997"
17052,Sooke,2010," 11,369"
17052,Sooke,2011," 11,706"
17052,Sooke,2012," 12,268"
17052,Sooke,2013," 12,534"
17052,Sooke,2014," 12,842"
17052,Sooke,2015," 13,092"
17052,Sooke,2016," 13,605"
17052,Sooke,2017," 14,041"
17052,Sooke,2018," 14,319"
17052,Sooke,2019," 14,568"
17052,Sooke,2020," 14,943"
17052,Sooke,2021," 15,349"
17052,Sooke,2022," 15,987"
17999,Unincorporated Areas - Capital,2005," 24,202"
17999,Unincorporated Areas - Capital,2006," 24,475"
17999,Unincorporated Areas - Capital,2007," 24,613"
17999,Unincorporated Areas - Capital,2008," 24,782"
17999,Unincorporated Areas - Capital,2009," 24,925"
17999,Unincorporated Areas - Capital,2010," 25,074"
17999,Unincorporated Areas - Capital,2011," 25,217"
17999,Unincorporated Areas - Capital,2012," 25,512"
17999,Unincorporated Areas - Capital,2013," 25,685"
17999,Unincorporated Areas - Capital,2014," 25,872"
17999,Unincorporated Areas - Capital,2015," 26,139"
17999,Unincorporated Areas - Capital,2016," 26,343"
17999,Unincorporated Areas - Capital,2017," 26,876"
17999,Unincorporated Areas - Capital,2018," 27,257"
17999,Unincorporated Areas - Capital,2019," 27,475"
17999,Unincorporated Areas - Capital,2020," 27,917"
17999,Unincorporated Areas - Capital,2021," 28,433"
17999,Unincorporated Areas - Capital,2022," 28,994"
19008,North Cowichan,2005," 28,028"
19008,North Cowichan,2006," 28,229"
19008,North Cowichan,2007," 28,506"
19008,North Cowichan,2008," 28,629"
19008,North Cowichan,2009," 28,677"
19008,North Cowichan,2010," 29,044"
19008,North Cowichan,2011," 29,254"
19008,North Cowichan,2012," 29,315"
19008,North Cowichan,2013," 29,383"
19008,North Cowichan,2014," 29,773"
19008,North Cowichan,2015," 30,088"
19008,North Cowichan,2016," 30,750"
19008,North Cowichan,2017," 31,243"
19008,North Cowichan,2018," 31,799"
19008,North Cowichan,2019," 32,038"
19008,North Cowichan,2020," 32,434"
19008,North Cowichan,2021," 32,872"
19008,North Cowichan,2022," 33,340"
19012,Duncan,2005,"  5,026"
19012,Duncan,2006,"  5,091"
19012,Duncan,2007,"  4,930"
19012,Duncan,2008,"  5,025"
19012,Duncan,2009,"  5,137"
19012,Duncan,2010,"  4,951"
19012,Duncan,2011,"  5,002"
19012,Duncan,2012,"  4,888"
19012,Duncan,2013,"  4,931"
19012,Duncan,2014,"  4,893"
19012,Duncan,2015,"  4,947"
19012,Duncan,2016,"  5,110"
19012,Duncan,2017,"  5,129"
19012,Duncan,2018,"  5,149"
19012,Duncan,2019,"  5,207"
19012,Duncan,2020,"  5,251"
19012,Duncan,2021,"  5,174"
19012,Duncan,2022,"  5,357"
19016,Lake Cowichan,2005,"  3,072"
19016,Lake Cowichan,2006,"  3,083"
19016,Lake Cowichan,2007,"  3,060"
19016,Lake Cowichan,2008,"  3,070"
19016,Lake Cowichan,2009,"  3,060"
19016,Lake Cowichan,2010,"  3,034"
19016,Lake Cowichan,2011,"  3,018"
19016,Lake Cowichan,2012,"  3,066"
19016,Lake Cowichan,2013,"  3,101"
19016,Lake Cowichan,2014,"  3,194"
19016,Lake Cowichan,2015,"  3,259"
19016,Lake Cowichan,2016,"  3,358"
19016,Lake Cowichan,2017,"  3,388"
19016,Lake Cowichan,2018,"  3,456"
19016,Lake Cowichan,2019,"  3,513"
19016,Lake Cowichan,2020,"  3,601"
19016,Lake Cowichan,2021,"  3,557"
19016,Lake Cowichan,2022,"  3,599"
19021,Ladysmith,2005,"  7,590"
19021,Ladysmith,2006,"  7,731"
19021,Ladysmith,2007,"  7,799"
19021,Ladysmith,2008,"  7,895"
19021,Ladysmith,2009,"  8,002"
19021,Ladysmith,2010,"  8,041"
19021,Ladysmith,2011,"  8,022"
19021,Ladysmith,2012,"  8,122"
19021,Ladysmith,2013,"  8,307"
19021,Ladysmith,2014,"  8,492"
19021,Ladysmith,2015,"  8,624"
19021,Ladysmith,2016,"  8,824"
19021,Ladysmith,2017,"  8,935"
19021,Ladysmith,2018,"  8,903"
19021,Ladysmith,2019,"  9,046"
19021,Ladysmith,2020,"  9,056"
19021,Ladysmith,2021,"  9,157"
19021,Ladysmith,2022,"  9,337"
1999,Unincorporated Areas - East Kootenay,2005," 16,554"
1999,Unincorporated Areas - East Kootenay,2006," 16,679"
1999,Unincorporated Areas - East Kootenay,2007," 16,605"
1999,Unincorporated Areas - East Kootenay,2008," 16,483"
1999,Unincorporated Areas - East Kootenay,2009," 16,264"
1999,Unincorporated Areas - East Kootenay,2010," 16,099"
1999,Unincorporated Areas - East Kootenay,2011," 15,879"
1999,Unincorporated Areas - East Kootenay,2012," 16,062"
1999,Unincorporated Areas - East Kootenay,2013," 16,210"
1999,Unincorporated Areas - East Kootenay,2014," 16,573"
1999,Unincorporated Areas - East Kootenay,2015," 16,890"
1999,Unincorporated Areas - East Kootenay,2016," 17,246"
1999,Unincorporated Areas - East Kootenay,2017," 17,456"
1999,Unincorporated Areas - East Kootenay,2018," 17,761"
1999,Unincorporated Areas - East Kootenay,2019," 18,093"
1999,Unincorporated Areas - East Kootenay,2020," 18,340"
1999,Unincorporated Areas - East Kootenay,2021," 18,552"
1999,Unincorporated Areas - East Kootenay,2022," 18,992"
19999,Unincorporated Areas - Cowichan Valley,2005," 34,306"
19999,Unincorporated Areas - Cowichan Valley,2006," 34,730"
19999,Unincorporated Areas - Cowichan Valley,2007," 35,120"
19999,Unincorporated Areas - Cowichan Valley,2008," 35,677"
19999,Unincorporated Areas - Cowichan Valley,2009," 35,971"
19999,Unincorporated Areas - Cowichan Valley,2010," 36,236"
19999,Unincorporated Areas - Cowichan Valley,2011," 36,271"
19999,Unincorporated Areas - Cowichan Valley,2012," 36,506"
19999,Unincorporated Areas - Cowichan Valley,2013," 36,866"
19999,Unincorporated Areas - Cowichan Valley,2014," 37,516"
19999,Unincorporated Areas - Cowichan Valley,2015," 38,163"
19999,Unincorporated Areas - Cowichan Valley,2016," 38,807"
19999,Unincorporated Areas - Cowichan Valley,2017," 39,638"
19999,Unincorporated Areas - Cowichan Valley,2018," 40,168"
19999,Unincorporated Areas - Cowichan Valley,2019," 40,426"
19999,Unincorporated Areas - Cowichan Valley,2020," 40,568"
19999,Unincorporated Areas - Cowichan Valley,2021," 40,886"
19999,Unincorporated Areas - Cowichan Valley,2022," 41,123"
21007,Nanaimo,2005," 80,096"
21007,Nanaimo,2006," 80,938"
21007,Nanaimo,2007," 81,876"
21007,Nanaimo,2008," 83,102"
21007,Nanaimo,2009," 83,769"
21007,Nanaimo,2010," 84,807"
21007,Nanaimo,2011," 85,541"
21007,Nanaimo,2012," 86,778"
21007,Nanaimo,2013," 88,149"
21007,Nanaimo,2014," 89,978"
21007,Nanaimo,2015," 92,135"
21007,Nanaimo,2016," 94,268"
21007,Nanaimo,2017," 96,303"
21007,Nanaimo,2018," 98,066"
21007,Nanaimo,2019," 99,986"
21007,Nanaimo,2020,"101,144"
21007,Nanaimo,2021,"102,088"
21007,Nanaimo,2022,"104,058"
21008,Lantzville,2005,"  3,766"
21008,Lantzville,2006,"  3,746"
21008,Lantzville,2007,"  3,751"
21008,Lantzville,2008,"  3,732"
21008,Lantzville,2009,"  3,759"
21008,Lantzville,2010,"  3,740"
21008,Lantzville,2011,"  3,631"
21008,Lantzville,2012,"  3,604"
21008,Lantzville,2013,"  3,628"
21008,Lantzville,2014,"  3,649"
21008,Lantzville,2015,"  3,650"
21008,Lantzville,2016,"  3,745"
21008,Lantzville,2017,"  3,745"
21008,Lantzville,2018,"  3,806"
21008,Lantzville,2019,"  3,807"
21008,Lantzville,2020,"  3,847"
21008,Lantzville,2021,"  3,876"
21008,Lantzville,2022,"  3,964"
21018,Parksville,2005," 11,080"
21018,Parksville,2006," 11,200"
21018,Parksville,2007," 11,475"
21018,Parksville,2008," 11,546"
21018,Parksville,2009," 11,645"
21018,Parksville,2010," 11,907"
21018,Parksville,2011," 12,108"
21018,Parksville,2012," 12,209"
21018,Parksville,2013," 12,293"
21018,Parksville,2014," 12,284"
21018,Parksville,2015," 12,503"
21018,Parksville,2016," 12,852"
21018,Parksville,2017," 13,068"
21018,Parksville,2018," 13,210"
21018,Parksville,2019," 13,415"
21018,Parksville,2020," 13,503"
21018,Parksville,2021," 13,961"
21018,Parksville,2022," 14,162"
21023,Qualicum Beach,2005,"  8,536"
21023,Qualicum Beach,2006,"  8,586"
21023,Qualicum Beach,2007,"  8,696"
21023,Qualicum Beach,2008,"  8,761"
21023,Qualicum Beach,2009,"  8,730"
21023,Qualicum Beach,2010,"  8,694"
21023,Qualicum Beach,2011,"  8,692"
21023,Qualicum Beach,2012,"  8,681"
21023,Qualicum Beach,2013,"  8,750"
21023,Qualicum Beach,2014,"  8,771"
21023,Qualicum Beach,2015,"  8,868"
21023,Qualicum Beach,2016,"  9,096"
21023,Qualicum Beach,2017,"  9,157"
21023,Qualicum Beach,2018,"  9,157"
21023,Qualicum Beach,2019,"  9,178"
21023,Qualicum Beach,2020,"  9,230"
21023,Qualicum Beach,2021,"  9,343"
21023,Qualicum Beach,2022,"  9,397"
21999,Unincorporated Areas - Nanaimo,2005," 36,806"
21999,Unincorporated Areas - Nanaimo,2006," 37,639"
21999,Unincorporated Areas - Nanaimo,2007," 37,874"
21999,Unincorporated Areas - Nanaimo,2008," 38,314"
21999,Unincorporated Areas - Nanaimo,2009," 38,597"
21999,Unincorporated Areas - Nanaimo,2010," 38,747"
21999,Unincorporated Areas - Nanaimo,2011," 38,940"
21999,Unincorporated Areas - Nanaimo,2012," 39,244"
21999,Unincorporated Areas - Nanaimo,2013," 39,505"
21999,Unincorporated Areas - Nanaimo,2014," 40,252"
21999,Unincorporated Areas - Nanaimo,2015," 40,788"
21999,Unincorporated Areas - Nanaimo,2016," 41,474"
21999,Unincorporated Areas - Nanaimo,2017," 42,260"
21999,Unincorporated Areas - Nanaimo,2018," 43,117"
21999,Unincorporated Areas - Nanaimo,2019," 43,602"
21999,Unincorporated Areas - Nanaimo,2020," 43,969"
21999,Unincorporated Areas - Nanaimo,2021," 44,331"
21999,Unincorporated Areas - Nanaimo,2022," 44,801"
23008,Port Alberni,2005," 18,112"
23008,Port Alberni,2006," 17,978"
23008,Port Alberni,2007," 18,025"
23008,Port Alberni,2008," 18,043"
23008,Port Alberni,2009," 18,121"
23008,Port Alberni,2010," 18,151"
23008,Port Alberni,2011," 18,014"
23008,Port Alberni,2012," 17,917"
23008,Port Alberni,2013," 17,774"
23008,Port Alberni,2014," 17,755"
23008,Port Alberni,2015," 18,013"
23008,Port Alberni,2016," 18,356"
23008,Port Alberni,2017," 18,464"
23008,Port Alberni,2018," 18,700"
23008,Port Alberni,2019," 18,844"
23008,Port Alberni,2020," 19,036"
23008,Port Alberni,2021," 19,201"
23008,Port Alberni,2022," 19,538"
23019,Ucluelet,2005,"  1,563"
23019,Ucluelet,2006,"  1,541"
23019,Ucluelet,2007,"  1,461"
23019,Ucluelet,2008,"  1,542"
23019,Ucluelet,2009,"  1,582"
23019,Ucluelet,2010,"  1,655"
23019,Ucluelet,2011,"  1,668"
23019,Ucluelet,2012,"  1,639"
23019,Ucluelet,2013,"  1,714"
23019,Ucluelet,2014,"  1,647"
23019,Ucluelet,2015,"  1,709"
23019,Ucluelet,2016,"  1,819"
23019,Ucluelet,2017,"  1,900"
23019,Ucluelet,2018,"  1,827"
23019,Ucluelet,2019,"  1,866"
23019,Ucluelet,2020,"  1,953"
23019,Ucluelet,2021,"  2,056"
23019,Ucluelet,2022,"  2,206"
23025,Tofino,2005,"  1,700"
23025,Tofino,2006,"  1,731"
23025,Tofino,2007,"  1,720"
23025,Tofino,2008,"  1,757"
23025,Tofino,2009,"  1,844"
23025,Tofino,2010,"  1,903"
23025,Tofino,2011,"  1,946"
23025,Tofino,2012,"  1,971"
23025,Tofino,2013,"  1,972"
23025,Tofino,2014,"  2,051"
23025,Tofino,2015,"  2,064"
23025,Tofino,2016,"  2,070"
23025,Tofino,2017,"  2,190"
23025,Tofino,2018,"  2,279"
23025,Tofino,2019,"  2,434"
23025,Tofino,2020,"  2,523"
23025,Tofino,2021,"  2,548"
23025,Tofino,2022,"  2,521"
23999,Unincorporated Areas - Alberni-Clayoquot,2005," 10,194"
23999,Unincorporated Areas - Alberni-Clayoquot,2006," 10,229"
23999,Unincorporated Areas - Alberni-Clayoquot,2007," 10,224"
23999,Unincorporated Areas - Alberni-Clayoquot,2008," 10,220"
23999,Unincorporated Areas - Alberni-Clayoquot,2009," 10,152"
23999,Unincorporated Areas - Alberni-Clayoquot,2010," 10,040"
23999,Unincorporated Areas - Alberni-Clayoquot,2011,"  9,995"
23999,Unincorporated Areas - Alberni-Clayoquot,2012,"  9,917"
23999,Unincorporated Areas - Alberni-Clayoquot,2013,"  9,875"
23999,Unincorporated Areas - Alberni-Clayoquot,2014," 10,050"
23999,Unincorporated Areas - Alberni-Clayoquot,2015,"  9,957"
23999,Unincorporated Areas - Alberni-Clayoquot,2016," 10,042"
23999,Unincorporated Areas - Alberni-Clayoquot,2017," 10,025"
23999,Unincorporated Areas - Alberni-Clayoquot,2018," 10,172"
23999,Unincorporated Areas - Alberni-Clayoquot,2019," 10,372"
23999,Unincorporated Areas - Alberni-Clayoquot,2020," 10,344"
23999,Unincorporated Areas - Alberni-Clayoquot,2021," 10,517"
23999,Unincorporated Areas - Alberni-Clayoquot,2022," 10,602"
24025,Gold River,2005,"  1,378"
24025,Gold River,2006,"  1,389"
24025,Gold River,2007,"  1,405"
24025,Gold River,2008,"  1,409"
24025,Gold River,2009,"  1,342"
24025,Gold River,2010,"  1,333"
24025,Gold River,2011,"  1,283"
24025,Gold River,2012,"  1,335"
24025,Gold River,2013,"  1,320"
24025,Gold River,2014,"  1,277"
24025,Gold River,2015,"  1,252"
24025,Gold River,2016,"  1,236"
24025,Gold River,2017,"  1,263"
24025,Gold River,2018,"  1,243"
24025,Gold River,2019,"  1,273"
24025,Gold River,2020,"  1,285"
24025,Gold River,2021,"  1,271"
24025,Gold River,2022,"  1,273"
24029,Zeballos,2005,    202
24029,Zeballos,2006,    201
24029,Zeballos,2007,    180
24029,Zeballos,2008,    171
24029,Zeballos,2009,    153
24029,Zeballos,2010,    135
24029,Zeballos,2011,    125
24029,Zeballos,2012,    127
24029,Zeballos,2013,    125
24029,Zeballos,2014,    113
24029,Zeballos,2015,    116
24029,Zeballos,2016,    116
24029,Zeballos,2017,    108
24029,Zeballos,2018,    114
24029,Zeballos,2019,    113
24029,Zeballos,2020,    112
24029,Zeballos,2021,    125
24029,Zeballos,2022,    121
24030,Tahsis,2005,    408
24030,Tahsis,2006,    375
24030,Tahsis,2007,    355
24030,Tahsis,2008,    350
24030,Tahsis,2009,    347
24030,Tahsis,2010,    328
24030,Tahsis,2011,    325
24030,Tahsis,2012,    334
24030,Tahsis,2013,    309
24030,Tahsis,2014,    284
24030,Tahsis,2015,    273
24030,Tahsis,2016,    250
24030,Tahsis,2017,    248
24030,Tahsis,2018,    285
24030,Tahsis,2019,    294
24030,Tahsis,2020,    303
24030,Tahsis,2021,    300
24030,Tahsis,2022,    277
24034,Campbell River,2005," 30,133"
24034,Campbell River,2006," 30,422"
24034,Campbell River,2007," 30,773"
24034,Campbell River,2008," 31,245"
24034,Campbell River,2009," 31,407"
24034,Campbell River,2010," 31,499"
24034,Campbell River,2011," 31,770"
24034,Campbell River,2012," 31,845"
24034,Campbell River,2013," 32,155"
24034,Campbell River,2014," 32,613"
24034,Campbell River,2015," 33,148"
24034,Campbell River,2016," 33,906"
24034,Campbell River,2017," 34,452"
24034,Campbell River,2018," 35,217"
24034,Campbell River,2019," 35,656"
24034,Campbell River,2020," 36,142"
24034,Campbell River,2021," 36,694"
24034,Campbell River,2022," 37,181"
24039,Sayward,2005,    353
24039,Sayward,2006,    358
24039,Sayward,2007,    357
24039,Sayward,2008,    340
24039,Sayward,2009,    331
24039,Sayward,2010,    321
24039,Sayward,2011,    322
24039,Sayward,2012,    287
24039,Sayward,2013,    273
24039,Sayward,2014,    290
24039,Sayward,2015,    294
24039,Sayward,2016,    319
24039,Sayward,2017,    323
24039,Sayward,2018,    347
24039,Sayward,2019,    347
24039,Sayward,2020,    325
24039,Sayward,2021,    280
24039,Sayward,2022,    306
24999,Unincorporated Areas - Strathcona,2005," 10,526"
24999,Unincorporated Areas - Strathcona,2006," 10,507"
24999,Unincorporated Areas - Strathcona,2007," 10,488"
24999,Unincorporated Areas - Strathcona,2008," 10,394"
24999,Unincorporated Areas - Strathcona,2009," 10,314"
24999,Unincorporated Areas - Strathcona,2010," 10,291"
24999,Unincorporated Areas - Strathcona,2011," 10,147"
24999,Unincorporated Areas - Strathcona,2012," 10,194"
24999,Unincorporated Areas - Strathcona,2013," 10,173"
24999,Unincorporated Areas - Strathcona,2014," 10,223"
24999,Unincorporated Areas - Strathcona,2015," 10,335"
24999,Unincorporated Areas - Strathcona,2016," 10,621"
24999,Unincorporated Areas - Strathcona,2017," 10,872"
24999,Unincorporated Areas - Strathcona,2018," 10,958"
24999,Unincorporated Areas - Strathcona,2019," 11,111"
24999,Unincorporated Areas - Strathcona,2020," 11,224"
24999,Unincorporated Areas - Strathcona,2021," 11,386"
24999,Unincorporated Areas - Strathcona,2022," 11,649"
26005,Comox,2005," 12,554"
26005,Comox,2006," 12,665"
26005,Comox,2007," 12,878"
26005,Comox,2008," 13,097"
26005,Comox,2009," 13,359"
26005,Comox,2010," 13,651"
26005,Comox,2011," 13,812"
26005,Comox,2012," 14,116"
26005,Comox,2013," 14,192"
26005,Comox,2014," 14,176"
26005,Comox,2015," 14,284"
26005,Comox,2016," 14,480"
26005,Comox,2017," 14,674"
26005,Comox,2018," 14,882"
26005,Comox,2019," 15,018"
26005,Comox,2020," 15,172"
26005,Comox,2021," 15,237"
26005,Comox,2022," 15,371"
26010,Courtenay,2005," 22,302"
26010,Courtenay,2006," 22,791"
26010,Courtenay,2007," 23,404"
26010,Courtenay,2008," 23,858"
26010,Courtenay,2009," 24,169"
26010,Courtenay,2010," 24,289"
26010,Courtenay,2011," 24,642"
26010,Courtenay,2012," 24,547"
26010,Courtenay,2013," 24,776"
26010,Courtenay,2014," 25,232"
26010,Courtenay,2015," 26,050"
26010,Courtenay,2016," 26,561"
26010,Courtenay,2017," 27,043"
26010,Courtenay,2018," 27,635"
26010,Courtenay,2019," 28,172"
26010,Courtenay,2020," 28,568"
26010,Courtenay,2021," 29,058"
26010,Courtenay,2022," 29,888"
26014,Cumberland,2005,"  2,823"
26014,Cumberland,2006,"  2,842"
26014,Cumberland,2007,"  2,994"
26014,Cumberland,2008,"  3,120"
26014,Cumberland,2009,"  3,251"
26014,Cumberland,2010,"  3,335"
26014,Cumberland,2011,"  3,506"
26014,Cumberland,2012,"  3,555"
26014,Cumberland,2013,"  3,598"
26014,Cumberland,2014,"  3,663"
26014,Cumberland,2015,"  3,809"
26014,Cumberland,2016,"  3,921"
26014,Cumberland,2017,"  4,089"
26014,Cumberland,2018,"  4,250"
26014,Cumberland,2019,"  4,418"
26014,Cumberland,2020,"  4,594"
26014,Cumberland,2021,"  4,709"
26014,Cumberland,2022,"  4,691"
26999,Unincorporated Areas - Comox Valley,2005," 22,701"
26999,Unincorporated Areas - Comox Valley,2006," 22,658"
26999,Unincorporated Areas - Comox Valley,2007," 22,614"
26999,Unincorporated Areas - Comox Valley,2008," 22,801"
26999,Unincorporated Areas - Comox Valley,2009," 22,492"
26999,Unincorporated Areas - Comox Valley,2010," 22,546"
26999,Unincorporated Areas - Comox Valley,2011," 22,526"
26999,Unincorporated Areas - Comox Valley,2012," 22,844"
26999,Unincorporated Areas - Comox Valley,2013," 22,770"
26999,Unincorporated Areas - Comox Valley,2014," 23,135"
26999,Unincorporated Areas - Comox Valley,2015," 23,412"
26999,Unincorporated Areas - Comox Valley,2016," 23,973"
26999,Unincorporated Areas - Comox Valley,2017," 24,461"
26999,Unincorporated Areas - Comox Valley,2018," 24,759"
26999,Unincorporated Areas - Comox Valley,2019," 25,055"
26999,Unincorporated Areas - Comox Valley,2020," 25,223"
26999,Unincorporated Areas - Comox Valley,2021," 25,441"
26999,Unincorporated Areas - Comox Valley,2022," 25,534"
27008,Powell River,2005," 13,199"
27008,Powell River,2006," 13,231"
27008,Powell River,2007," 13,439"
27008,Powell River,2008," 13,459"
27008,Powell River,2009," 13,408"
27008,Powell River,2010," 13,400"
27008,Powell River,2011," 13,326"
27008,Powell River,2012," 13,329"
27008,Powell River,2013," 13,408"
27008,Powell River,2014," 13,463"
27008,Powell River,2015," 13,392"
27008,Powell River,2016," 13,602"
27008,Powell River,2017," 13,706"
27008,Powell River,2018," 13,787"
27008,Powell River,2019," 13,801"
27008,Powell River,2020," 13,963"
27008,Powell River,2021," 13,990"
27008,Powell River,2022," 14,134"
27806,Sechelt Ind Gov Dist (Part-Powell River),2005,     26
27806,Sechelt Ind Gov Dist (Part-Powell River),2006,     14
27806,Sechelt Ind Gov Dist (Part-Powell River),2007,     18
27806,Sechelt Ind Gov Dist (Part-Powell River),2008,     21
27806,Sechelt Ind Gov Dist (Part-Powell River),2009,     23
27806,Sechelt Ind Gov Dist (Part-Powell River),2010,     29
27806,Sechelt Ind Gov Dist (Part-Powell River),2011,     29
27806,Sechelt Ind Gov Dist (Part-Powell River),2012,     20
27806,Sechelt Ind Gov Dist (Part-Powell River),2013,     24
27806,Sechelt Ind Gov Dist (Part-Powell River),2014,     24
27806,Sechelt Ind Gov Dist (Part-Powell River),2015,     19
27806,Sechelt Ind Gov Dist (Part-Powell River),2016,     31
27806,Sechelt Ind Gov Dist (Part-Powell River),2017,     24
27806,Sechelt Ind Gov Dist (Part-Powell River),2018,     29
27806,Sechelt Ind Gov Dist (Part-Powell River),2019,     31
27806,Sechelt Ind Gov Dist (Part-Powell River),2020,     30
27806,Sechelt Ind Gov Dist (Part-Powell River),2021,     33
27806,Sechelt Ind Gov Dist (Part-Powell River),2022,     20
27999,Unincorporated Areas - Powell River,2005,"  6,749"
27999,Unincorporated Areas - Powell River,2006,"  6,773"
27999,Unincorporated Areas - Powell River,2007,"  6,762"
27999,Unincorporated Areas - Powell River,2008,"  6,823"
27999,Unincorporated Areas - Powell River,2009,"  6,814"
27999,Unincorporated Areas - Powell River,2010,"  6,809"
27999,Unincorporated Areas - Powell River,2011,"  6,776"
27999,Unincorporated Areas - Powell River,2012,"  6,807"
27999,Unincorporated Areas - Powell River,2013,"  6,824"
27999,Unincorporated Areas - Powell River,2014,"  6,884"
27999,Unincorporated Areas - Powell River,2015,"  6,950"
27999,Unincorporated Areas - Powell River,2016,"  7,096"
27999,Unincorporated Areas - Powell River,2017,"  7,129"
27999,Unincorporated Areas - Powell River,2018,"  7,190"
27999,Unincorporated Areas - Powell River,2019,"  7,261"
27999,Unincorporated Areas - Powell River,2020,"  7,253"
27999,Unincorporated Areas - Powell River,2021,"  7,384"
27999,Unincorporated Areas - Powell River,2022,"  7,493"
29005,Gibsons,2005,"  4,264"
29005,Gibsons,2006,"  4,252"
29005,Gibsons,2007,"  4,205"
29005,Gibsons,2008,"  4,329"
29005,Gibsons,2009,"  4,426"
29005,Gibsons,2010,"  4,479"
29005,Gibsons,2011,"  4,510"
29005,Gibsons,2012,"  4,510"
29005,Gibsons,2013,"  4,535"
29005,Gibsons,2014,"  4,701"
29005,Gibsons,2015,"  4,686"
29005,Gibsons,2016,"  4,753"
29005,Gibsons,2017,"  4,852"
29005,Gibsons,2018,"  4,907"
29005,Gibsons,2019,"  4,870"
29005,Gibsons,2020,"  4,905"
29005,Gibsons,2021,"  4,933"
29005,Gibsons,2022,"  4,920"
29011,Sechelt District Municipality,2005,"  8,599"
29011,Sechelt District Municipality,2006,"  8,602"
29011,Sechelt District Municipality,2007,"  8,807"
29011,Sechelt District Municipality,2008,"  9,107"
29011,Sechelt District Municipality,2009,"  9,147"
29011,Sechelt District Municipality,2010,"  9,331"
29011,Sechelt District Municipality,2011,"  9,407"
29011,Sechelt District Municipality,2012,"  9,573"
29011,Sechelt District Municipality,2013,"  9,631"
29011,Sechelt District Municipality,2014,"  9,865"
29011,Sechelt District Municipality,2015," 10,142"
29011,Sechelt District Municipality,2016," 10,550"
29011,Sechelt District Municipality,2017," 10,641"
29011,Sechelt District Municipality,2018," 10,739"
29011,Sechelt District Municipality,2019," 10,735"
29011,Sechelt District Municipality,2020," 10,884"
29011,Sechelt District Municipality,2021," 10,869"
29011,Sechelt District Municipality,2022," 11,232"
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2005,    858
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2006,    846
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2007,    859
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2008,    903
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2009,    877
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2010,    824
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2011,    799
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2012,    775
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2013,    728
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2014,    766
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2015,    739
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2016,    690
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2017,    703
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2018,    707
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2019,    714
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2020,    694
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2021,    741
29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),2022,    752
29999,Unincorporated Areas - Sunshine Coast,2005," 14,502"
29999,Unincorporated Areas - Sunshine Coast,2006," 14,612"
29999,Unincorporated Areas - Sunshine Coast,2007," 14,717"
29999,Unincorporated Areas - Sunshine Coast,2008," 14,609"
29999,Unincorporated Areas - Sunshine Coast,2009," 14,559"
29999,Unincorporated Areas - Sunshine Coast,2010," 14,373"
29999,Unincorporated Areas - Sunshine Coast,2011," 14,260"
29999,Unincorporated Areas - Sunshine Coast,2012," 14,300"
29999,Unincorporated Areas - Sunshine Coast,2013," 14,425"
29999,Unincorporated Areas - Sunshine Coast,2014," 14,505"
29999,Unincorporated Areas - Sunshine Coast,2015," 14,792"
29999,Unincorporated Areas - Sunshine Coast,2016," 14,959"
29999,Unincorporated Areas - Sunshine Coast,2017," 15,072"
29999,Unincorporated Areas - Sunshine Coast,2018," 15,198"
29999,Unincorporated Areas - Sunshine Coast,2019," 15,419"
29999,Unincorporated Areas - Sunshine Coast,2020," 15,411"
29999,Unincorporated Areas - Sunshine Coast,2021," 15,775"
29999,Unincorporated Areas - Sunshine Coast,2022," 15,961"
3004,Creston,2005,"  4,900"
3004,Creston,2006,"  4,908"
